#Instrument,Date,Time,Price,Volume,Value,Trans ID,Bid ID,Ask ID,Bid/Ask
BHP,20130205,15:39:11.236,37.260,30,1117.8,0,6230424149654276220,,B
BHP,20130205,15:40:25.517,37.260,54,2012.04,0,6230424149654298056,,B
BHP,20130205,15:42:10.356,37.260,214,7973.64,0,6230424149654310864,,B
BHP,20130205,15:42:44.107,37.260,823,30664.98,0,6230424149654313548,,B
BHP,20130205,15:44:24.377,37.260,583,21722.58,0,6230424149654315418,,B
BHP,20130205,15:48:38.322,37.260,50,1863,0,6230424149654322543,,B
BHP,20130205,15:48:49.181,37.260,1300,48438,0,6230424149654327833,,B
BHP,20130205,15:49:22.031,37.260,300,11178,0,6230424149654371782,,B
BHP,20130205,15:49:29.146,37.260,4,149.04,0,6230424149654373353,,B
BHP,20130205,15:50:10.591,37.260,4,149.04,0,6230424149654375110,,B
BHP,20130205,15:50:17.467,37.260,39,1453.14,0,6230424149654377678,,B
BHP,20130205,15:50:22.310,37.260,46,1713.96,0,6230424149654381729,,B
BHP,20130205,15:50:56.310,37.260,1391,51828.66,0,6230424149654395055,,B
BHP,20130205,15:51:11.967,37.260,372,13860.72,0,6230424149654397908,,B
BHP,20130205,15:51:34.343,37.260,1,37.26,0,6230424149654397680,,B
BHP,20130205,15:54:36.772,37.260,36,1341.36,0,6230424149654414446,,B
BHP,20130205,15:55:04.579,37.260,1,37.26,0,6230424149654449083,,B
BHP,20130205,15:55:25.797,37.260,11,409.86,0,6230424149654432615,,B
BHP,20130205,14:41:09.775,37.255,18,670.59,0,6230424149653839906,,B
BHP,20130205,14:49:57.011,37.255,8,298.04,0,6230424149653895092,,B
BHP,20130205,11:20:53.466,37.250,400,14900,0,6228051953316358381,,B
BHP,20130205,11:21:33.234,37.250,6,223.5,0,6230424149651779370,,B
BHP,20130205,11:42:06.983,37.250,101,3762.25,0,6230424149652470450,,B
BHP,20130205,11:45:11.183,37.250,1963,73121.75,0,6230424149652484520,,B
BHP,20130205,11:45:11.355,37.250,10,372.5,0,6230424149652526864,,B
BHP,20130205,11:45:12.235,37.250,146,5438.5,0,6230424149652527354,,B
BHP,20130205,11:45:12.451,37.250,111,4134.75,0,6230424149652527513,,B
BHP,20130205,11:45:39.480,37.250,299,11137.75,0,6230424149652531983,,B
BHP,20130205,11:45:46.324,37.250,272,10132,0,6230424149652532614,,B
BHP,20130205,11:45:50.805,37.250,92,3427,0,6230424149652535475,,B
BHP,20130205,11:45:52.934,37.250,23,856.75,0,6230424149652535885,,B
BHP,20130205,12:12:30.806,37.250,250,9312.5,0,6230424149652720069,,B
BHP,20130205,12:12:53.360,37.250,1,37.25,0,6230424149652752365,,B
BHP,20130205,12:23:27.298,37.250,13,484.25,0,6230424149652816750,,B
BHP,20130205,12:24:20.597,37.250,16,596,0,6230424149652819349,,B
BHP,20130205,12:35:48.178,37.250,23,856.75,0,6230424149652827762,,B
BHP,20130205,12:36:53.585,37.250,1100,40975,0,6230424149652914835,,B
BHP,20130205,12:37:23.823,37.250,2000,74500,0,6230424149652924893,,B
BHP,20130205,12:38:32.783,37.250,5,186.25,0,6230424149652938278,,B
BHP,20130205,12:39:16.397,37.250,7,260.75,0,6230424149652940694,,B
BHP,20130205,12:39:49.239,37.250,96,3576,0,6230424149652946075,,B
BHP,20130205,12:42:27.112,37.250,141,5252.25,0,6230424149652971412,,B
BHP,20130205,12:45:07.853,37.250,1196,44551,0,6230424149653007403,,B
BHP,20130205,12:45:16.154,37.250,3,111.75,0,6230424149653010344,,B
BHP,20130205,12:49:35.842,37.250,85,3166.25,0,6230424149653058115,,B
BHP,20130205,12:51:33.567,37.250,528,19668,0,6230424149653067243,,B
BHP,20130205,12:53:39.143,37.250,100,3725,0,6230424149653090507,,B
BHP,20130205,12:54:47.786,37.250,50,1862.5,0,6230424149653095900,,B
BHP,20130205,12:55:57.653,37.250,18,670.5,0,6230424149653105918,,B
BHP,20130205,12:56:47.060,37.250,466,17358.5,0,6230424149653115592,,B
BHP,20130205,13:32:10.003,37.250,172,6407,0,6230424149653124988,,B
BHP,20130205,13:35:24.027,37.250,11,409.75,0,6230424149653398700,,B
BHP,20130205,13:37:36.700,37.250,205,7636.25,0,6230424149653413044,,B
BHP,20130205,13:37:36.790,37.250,300,11175,0,6230424149653413235,,B
BHP,20130205,13:59:13.307,37.250,784,29204,0,6230424149653559481,,B
BHP,20130205,14:36:05.139,37.250,14,521.5,0,6230424149653804952,,B
BHP,20130205,14:37:24.898,37.250,156,5811,0,6230424149653816618,,B
BHP,20130205,14:38:40.288,37.250,15,558.75,0,6230424149653821059,,B
BHP,20130205,14:39:42.647,37.250,1,37.25,0,6230424149653828602,,B
