#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,10:12.9,ENTER,37.35,100,,3735.0,,,1240,1241,B,,,,203,270
BHP,20130205,10:18.1,ENTER,37.36,100,,3736.0,,,1258,1259,B,,,,297,338
BHP,20130205,10:19.0,ENTER,37.36,100,,3736.0,,,1260,1261,A,,,,297,338
BHP,20130205,10:19.4,ENTER,37.36,100,,3736.0,,,1262,1263,A,,,,297,338
BHP,20130205,10:25.2,ENTER,37.36,100,,3736.0,,,1264,1265,B,,,,297,106
BHP,20130205,10:32.0,ENTER,37.37,100,,3736.9999999999995,,,1274,1275,B,,,,203,210
BHP,20130205,10:32.0,ENTER,37.37,100,,3736.9999999999995,XT,,1278,1279,A,,,,203,203
BHP,20130205,10:43.7,ENTER,37.36,100,,3736.0,,,1286,1287,A,,,,299,203
BHP,20130205,10:43.7,ENTER,37.36,100,,3736.0,,,1290,1291,B,,,,110,203
BHP,20130205,10:57.2,ENTER,37.37,100,,3736.9999999999995,,,1328,1329,B,,,,299,210
BHP,20130205,10:57.2,ENTER,37.37,100,,3736.9999999999995,,,1332,1333,A,,,,299,150
BHP,20130205,10:59.4,ENTER,37.36,100,,3736.0,PXT,,1344,1345,A,,,,203,203
BHP,20130205,11:02.4,ENTER,37.37,100,,3736.9999999999995,,,1348,1349,B,,,,203,150
BHP,20130205,11:11.7,ENTER,37.37,100,,3736.9999999999995,,,1350,1351,B,,,,112,150
BHP,20130205,11:11.7,ENTER,37.37,100,,3736.9999999999995,,,1354,1355,A,,,,112,203
BHP,20130205,11:18.4,ENTER,37.36,100,,3736.0,,,1390,1391,A,,,,233,244
BHP,20130205,11:18.4,ENTER,37.36,100,,3736.0,,,1392,1393,A,,,,299,244
BHP,20130205,11:18.4,ENTER,37.36,100,,3736.0,,,1394,1395,B,,,,299,244
BHP,20130205,11:18.4,ENTER,37.37,100,,3736.9999999999995,,,1396,1397,B,,,,210,217
BHP,20130205,11:37.3,ENTER,37.37,100,,3736.9999999999995,,,1398,1399,B,,,,210,941
BHP,20130205,11:49.8,ENTER,37.37,100,,3736.9999999999995,,,1402,1403,A,,,,210,941
BHP,20130205,12:05.1,ENTER,37.37,100,,3736.9999999999995,,,1412,1413,B,,,,270,203
BHP,20130205,12:05.8,ENTER,37.36,100,,3736.0,,,1430,1431,A,,,,119,203
BHP,20130205,12:05.8,ENTER,37.36,100,,3736.0,,,1434,1435,B,,,,299,203
BHP,20130205,12:12.9,ENTER,37.37,100,,3736.9999999999995,,,1466,1467,B,,,,270,150
BHP,20130205,12:13.0,ENTER,37.36,100,,3736.0,XT,,1470,1471,A,,,,203,203
BHP,20130205,12:13.0,ENTER,37.36,100,,3736.0,,,1472,1473,A,,,,217,203
BHP,20130205,12:13.0,ENTER,37.37,100,,3736.9999999999995,,,1476,1477,B,,,,210,150
BHP,20130205,12:13.0,ENTER,37.37,100,,3736.9999999999995,,,1478,1479,B,,,,210,297
BHP,20130205,12:14.5,ENTER,37.36,100,,3736.0,,,1482,1483,A,,,,140,203
BHP,20130205,12:15.0,ENTER,37.365,100,,3736.5,,,1486,1487,B,,,,229,210
BHP,20130205,12:16.3,ENTER,37.36,100,,3736.0,,,1492,1493,A,,,,210,203
BHP,20130205,12:16.3,ENTER,37.36,100,,3736.0,,,1496,1497,B,,,,210,217
BHP,20130205,12:32.2,ENTER,37.35,100,,3735.0,,,1512,1513,A,,,,140,299
BHP,20130205,12:32.2,ENTER,37.35,100,,3735.0,,,1516,1517,B,,,,150,299
BHP,20130205,12:44.0,ENTER,37.33,100,,3733.0,,,1522,1523,A,,,,678,140
BHP,20130205,12:56.3,ENTER,37.34,100,,3734.0000000000005,XT,,1524,1525,A,,,,203,203
BHP,20130205,12:58.4,ENTER,37.34,100,,3734.0000000000005,XT,,1526,1527,B,,,,203,203
BHP,20130205,12:58.4,ENTER,37.34,100,,3734.0000000000005,XT,,1528,1529,B,,,,203,203
BHP,20130205,12:58.4,ENTER,37.34,100,,3734.0000000000005,XT,,1530,1531,A,,,,203,203
BHP,20130205,13:02.6,ENTER,37.34,100,,3734.0000000000005,XT,,1536,1537,A,,,,203,203
BHP,20130205,13:17.3,ENTER,37.34,100,,3734.0000000000005,,,1538,1539,B,,,,203,299
BHP,20130205,13:24.8,ENTER,37.33,100,,3733.0,,,1540,1541,B,,,,678,210
BHP,20130205,13:27.3,ENTER,37.34,100,,3734.0000000000005,,,1542,1543,A,,,,406,299
BHP,20130205,13:28.1,ENTER,37.33,100,,3733.0,,,1544,1545,B,,,,678,203
BHP,20130205,13:28.1,ENTER,37.33,100,,3733.0,,,1548,1549,A,,,,217,203
BHP,20130205,13:28.1,ENTER,37.33,100,,3733.0,,,1550,1551,B,,,,203,270
BHP,20130205,13:34.5,ENTER,37.34,100,,3734.0000000000005,,,1568,1569,B,,,,140,951
BHP,20130205,13:35.0,ENTER,37.34,100,,3734.0000000000005,,,1572,1573,A,,,,119,150
BHP,20130205,13:47.1,ENTER,37.35,100,,3735.0,,,1602,1603,B,,,,119,297
BHP,20130205,13:47.1,ENTER,37.35,100,,3735.0,,,1606,1607,A,,,,119,210
BHP,20130205,14:18.8,ENTER,37.34,100,,3734.0000000000005,,,1616,1617,A,,,,270,203
BHP,20130205,14:23.3,ENTER,37.34,100,,3734.0000000000005,,,1624,1625,B,,,,217,270
BHP,20130205,14:23.4,ENTER,37.33,100,,3733.0,PXT,,1626,1627,B,,,,203,203
BHP,20130205,14:24.3,ENTER,37.34,100,,3734.0000000000005,,,1628,1629,A,,,,150,217
BHP,20130205,14:41.7,ENTER,37.35,100,,3735.0,,,1632,1633,B,,,,255,150
BHP,20130205,14:41.7,ENTER,37.35,100,,3735.0,,,1634,1635,A,,,,255,217
BHP,20130205,14:45.6,ENTER,37.34,100,,3734.0000000000005,PXT,,1636,1637,A,,,,203,203
BHP,20130205,14:59.6,ENTER,37.33,100,,3733.0,PXT,,1638,1639,A,,,,150,150
BHP,20130205,15:03.4,ENTER,37.35,100,,3735.0,,,1640,1641,A,,,,366,217
BHP,20130205,15:03.4,ENTER,37.35,100,,3735.0,,,1642,1643,B,,,,366,150
BHP,20130205,15:03.4,ENTER,37.35,100,,3735.0,,,1644,1645,B,,,,366,297
BHP,20130205,15:03.4,ENTER,37.35,100,,3735.0,,,1646,1647,A,,,,366,210
