#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,15:22:16.118,ENTER,37.300,100,,3729.9999999999995,,,27742,27743,A,,,,297,299
BHP,20130205,15:22:16.118,ENTER,37.300,100,,3729.9999999999995,,,27746,27747,B,,,,361,229
BHP,20130205,15:22:19.022,ENTER,37.310,100,,3731.0,,,27750,27751,B,,,,106,366
BHP,20130205,15:22:23.557,ENTER,37.290,100,,3729.0,,,27754,27755,A,,,,203,150
BHP,20130205,15:22:23.557,ENTER,37.290,100,,3729.0,,,27758,27759,B,,,,119,150
BHP,20130205,15:22:49.169,ENTER,37.300,100,,3729.9999999999995,,,27818,27819,A,,,,110,366
BHP,20130205,15:22:49.169,ENTER,37.300,100,,3729.9999999999995,,,27820,27821,B,,,,110,217
BHP,20130205,15:22:49.169,ENTER,37.300,100,,3729.9999999999995,,,27822,27823,B,,,,110,366
BHP,20130205,15:22:49.169,ENTER,37.300,100,,3729.9999999999995,,,27824,27825,A,,,,110,297
BHP,20130205,15:23:21.667,ENTER,37.300,100,,3729.9999999999995,,,27834,27835,B,,,,941,210
BHP,20130205,15:23:29.647,ENTER,37.310,100,,3731.0,,,27866,27867,B,,,,923,297
BHP,20130205,15:23:29.972,ENTER,37.310,100,,3731.0,,,27870,27871,A,,,,923,297
BHP,20130205,15:24:09.411,ENTER,37.300,100,,3729.9999999999995,,,27940,27941,A,,,,299,157
BHP,20130205,15:24:09.411,ENTER,37.300,100,,3729.9999999999995,,,27944,27945,B,,,,150,157
BHP,20130205,15:24:10.233,ENTER,37.310,100,,3731.0,,,27966,27967,B,,,,112,366
BHP,20130205,15:24:11.272,ENTER,37.310,100,,3731.0,XT,,27972,27973,A,,,,150,150
BHP,20130205,15:24:21.391,ENTER,37.300,100,,3729.9999999999995,,,27974,27975,A,,,,297,110
BHP,20130205,15:24:22.066,ENTER,37.300,100,,3729.9999999999995,,,27980,27981,B,,,,150,299
BHP,20130205,15:24:30.138,ENTER,37.290,100,,3729.0,,,27990,27991,A,,,,297,366
BHP,20130205,15:24:30.138,ENTER,37.290,100,,3729.0,XT,,27994,27995,B,,,,366,366
BHP,20130205,15:24:31.390,ENTER,37.290,100,,3729.0,,,28022,28023,B,,,,270,217
BHP,20130205,15:24:31.390,ENTER,37.290,100,,3729.0,,,28024,28025,A,,,,270,217
BHP,20130205,15:24:31.451,ENTER,37.290,100,,3729.0,,,28026,28027,A,,,,270,217
BHP,20130205,15:24:31.451,ENTER,37.290,100,,3729.0,,,28028,28029,B,,,,270,366
BHP,20130205,15:24:33.247,ENTER,37.280,100,,3728.0,XT,,28040,28041,A,,,,244,244
BHP,20130205,15:24:38.050,ENTER,37.290,100,,3729.0,,,28044,28045,B,,,,106,150
BHP,20130205,15:24:45.568,ENTER,37.285,100,,3728.4999999999995,,,28048,28049,A,,,,229,217
BHP,20130205,15:25:01.165,ENTER,37.270,100,,3727.0000000000005,,,28100,28101,B,,,,297,150
BHP,20130205,15:25:02.506,ENTER,37.270,100,,3727.0000000000005,,,28124,28125,B,,,,110,203
BHP,20130205,15:25:02.527,ENTER,37.270,100,,3727.0000000000005,PXT,,28126,28127,A,,,,203,203
BHP,20130205,15:25:02.564,ENTER,37.270,100,,3727.0000000000005,,,28128,28129,A,,,,110,270
BHP,20130205,15:25:02.621,ENTER,37.270,100,,3727.0000000000005,,,28130,28131,B,,,,203,270
BHP,20130205,15:25:32.386,ENTER,37.280,100,,3728.0,,,28180,28181,B,,,,150,297
